,Unnamed: 0,names,quantity,names_encoded,predicted_quantity
181,181.0,EARL,13,1670,
182,182.0,ELLA,13,1725,
183,183.0,FRED,13,1989,
184,184.0,HUNTER,13,2471,
185,185.0,IRIS,13,2507,
186,186.0,JUNIPER,13,2738,
187,187.0,LACEY,13,3043,
188,188.0,LOUIE,13,3285,
189,189.0,MIKA,13,3737,
190,190.0,ONYX,13,4404,
191,191.0,OZZY,13,4452,
192,192.0,PEBBLES,13,4555,
193,193.0,RASCAL,13,4955,
194,194.0,SOCKS,13,5595,
195,195.0,TIA,13,6000,
196,196.0,VIOLET,13,6344,
197,197.0,ANGUS,12,161,
198,198.0,APOLLO,12,188,
199,199.0,ARTHUR,12,225,
200,200.0,BASIL,12,400,
201,201.0,BATMAN,12,410,
202,202.0,BAXTER,12,413,
203,203.0,BENJAMIN,12,488,
204,204.0,CHASE,12,1083,
205,205.0,CODY,12,1297,
206,206.0,EDDIE,12,1684,
207,207.0,GEORGIE,12,2106,
208,208.0,JOJO,12,2692,
209,209.0,LEXI,12,3158,
210,210.0,MARBLE,12,3491,
211,211.0,MARTY,12,3547,
212,212.0,MERLIN,12,3675,
213,213.0,OLIVIA,12,4390,
214,214.0,PARKER,12,4504,
215,215.0,PICKLES,12,4655,
216,216.0,RUPERT,12,5168,
217,217.0,SAMANTHA,12,5233,
218,218.0,SANDY,12,5252,
219,219.0,SCOUT,12,5319,
220,220.0,SKITTLES,12,5521,
221,221.0,SNOWBALL,12,5581,
222,222.0,SNOWFLAKE,12,5583,
223,223.0,STAR,12,5726,
224,224.0,STORMY,12,5758,
225,225.0,TIMMY,12,6059,
226,226.0,BEAN,11,425,
227,227.0,BENNY,11,491,
228,228.0,BENTLEY,11,495,
229,229.0,BRUNO,11,792,
230,230.0,CAT,11,997,
231,231.0,CUDDLES,11,1397,
232,232.0,DOLLY,11,1585,
233,233.0,ELVIS,11,1746,
234,234.0,FREDDIE,11,1992,
235,235.0,FREYA,11,2007,
236,236.0,HUGO,11,2462,
237,237.0,JAKE,11,2564,
238,238.0,JAMES,11,2570,
239,239.0,KATIE,11,2799,
240,240.0,MAC,11,3380,
241,241.0,MILA,11,3751,
242,242.0,MINI,11,3796,
243,243.0,NINJA,11,4274,
244,244.0,PEARL,11,4551,
245,245.0,RAMBO,11,4941,
246,246.0,REX,11,5012,
247,247.0,SASSY,11,5281,
248,248.0,SEBASTIAN,11,5337,
249,249.0,SHEBA,11,5410,
250,250.0,SUNSHINE,11,5799,
251,251.0,SWEET PEA,11,5824,
252,252.0,TABBY,11,5853,
253,253.0,THOMAS,11,5986,
254,254.0,THOR,11,5990,
255,255.0,TINY,11,6075,
256,256.0,ABIGAIL,10,13,
257,257.0,ALFIE,10,81,
258,258.0,AMY,10,135,
259,259.0,ASHLEY,10,240,
260,260.0,AUTUMN,10,279,
261,261.0,BEAU,10,437,
262,262.0,COCOA,10,1292,
263,263.0,ELSA,10,1742,
